price,horsepower,engine_size,curb_weight,city_mpg,highway_mpg,wheelbase,car_width,fuel_type
13495,111,130,2548,21,27,88.6,64.1,gas
16500,111,130,2548,21,27,88.6,64.1,gas
16500,154,152,2823,19,26,94.5,65.5,gas
13950,102,109,2337,24,30,99.8,66.2,gas
17450,115,136,2824,18,22,99.4,66.4,gas
15250,110,136,2507,19,25,99.8,66.3,gas
17710,110,136,2844,19,25,105.8,71.4,gas
18920,110,136,2954,19,25,105.8,71.4,gas
23875,140,131,3086,17,20,105.8,71.4,gas
17859,160,131,3053,16,22,99.5,67.9,gas
16430,101,108,2395,23,29,101.2,64.8,gas
16925,101,108,2395,23,29,101.2,64.8,gas
20970,121,164,2710,21,28,101.2,64.8,gas
21105,121,164,2765,21,28,101.2,64.8,gas
24565,121,164,3055,20,25,101.2,64.8,gas
30760,182,209,3380,16,22,103.5,66.9,gas
40960,182,209,3505,16,22,103.5,66.9,gas
45400,182,209,3685,15,20,110.0,70.9,gas
5151,48,61,1488,47,53,88.4,60.3,gas
6295,70,90,1874,38,43,94.5,63.6,gas
6575,68,90,1909,37,41,94.5,63.6,gas
5572,68,90,1876,37,41,94.5,63.6,gas
6377,68,90,1918,31,38,93.7,63.8,gas
7957,102,98,2128,24,30,93.7,63.8,gas
6229,68,90,1967,31,38,93.7,63.8,gas
6692,68,90,1989,31,38,93.7,63.8,gas
7609,68,90,1989,31,38,93.7,63.8,gas
8558,100,122,2328,24,30,95.9,64.2,gas
8921,88,110,2275,30,33,96.1,65.4,gas
12964,145,156,2975,19,24,96.1,66.5,gas
9279,86,119,2289,27,33,93.7,63.4,gas
5399,62,91,1889,32,38,93.7,63.4,gas
6529,62,91,1909,32,38,93.7,63.4,gas
7129,62,91,1929,32,38,93.7,63.4,gas
12290,110,122,2398,21,29,97.3,65.4,gas
10345,76,108,2304,30,34,95.7,63.8,gas
6785,76,108,2169,30,34,95.7,63.8,gas
11048,100,138,2510,25,32,95.7,63.8,gas
18150,154,152,3139,19,24,95.7,65.4,gas
5389,70,92,1944,31,38,93.1,64.2,gas
6189,70,92,2024,31,38,93.1,64.2,gas
6669,70,92,2004,31,38,93.1,64.2,gas
7499,101,122,2460,24,30,93.1,64.2,gas
13200,140,156,2658,21,27,98.4,66.1,gas
7295,58,92,2045,49,54,94.3,64.2,diesel
7898,70,92,2108,31,38,94.5,64.2,gas
18344,120,152,3157,22,28,100.4,68.3,gas
21485,175,181,3110,19,24,102.4,66.5,gas
7099,82,92,2191,28,33,94.5,64.0,gas
7609,82,92,2236,28,33,94.5,64.0,gas
